ID_1,NO_APTA,APTITUD_BAJA,APTITUD_MEDIA,APTITUD_ALTA,EXCLUSION_LEGAL
1,1,32,64,96,128
2,2,33,65,97,129
3,3,34,66,98,130
4,4,35,67,99,131
5,5,36,68,100,132
6,6,37,69,101,133
7,7,38,70,102,134
8,8,39,71,103,135
9,9,40,72,104,136
10,10,41,73,105,137
11,11,42,74,106,138
12,12,43,75,107,139
13,13,44,76,108,140
14,14,45,77,109,141
15,15,46,78,110,142
16,16,47,79,111,143
17,17,48,80,112,144
18,18,49,81,113,145
19,19,50,82,114,146
20,20,51,83,115,147
21,21,52,84,116,148
22,22,53,85,117,149
23,23,54,86,118,150
24,24,55,87,119,151
25,25,56,88,120,152
26,26,57,89,121,153
27,27,58,90,122,154
28,28,59,91,123,155
29,29,60,92,124,156
30,30,61,93,125,157
31,31,62,94,126,158
32,32,63,95,127,159
