OBJECTID,ID_2,NO_APTA,APTITUD_BAJA,APTITUD_MEDIA,APTITUD_ALTA,EXCLUSION_LEGAL
1,1,1030627.35,0,0,0,0
2,2,2198988.31,0,0,0,0
3,3,1439078.743,0,0,0,949886.9588
4,4,256469.4789,0,0,0,151981.9134
5,5,1135114.916,0,0,0,527187.2621
6,6,147232.4786,0,0,0,47494.34794
7,7,921390.3501,0,0,0,9498.869588
8,8,1344090.047,0,0,0,541435.5665
9,9,47494.34794,0,4749.434794,0,0
10,10,18997.73918,0,0,0,0
11,11,14248.30438,0,0,0,4749.434794
12,12,9498.869588,0,0,0,0
13,13,113986.4351,0,0,0,0
14,14,52243.78274,0,0,0,9498.869588
15,15,4749.434794,0,4749.434794,0,0
16,16,33246.04356,0,0,0,0
17,17,142483.0438,4749.434794,0,0,0
18,18,18997.73918,0,0,0,0
19,19,23747.17397,0,4749.434794,37995.47835,0
20,20,9498.869588,0,33246.04356,9498.869588,0
21,21,14248.30438,0,0,0,4749.434794
22,22,9498.869588,0,0,0,0
23,23,14248.30438,0,0,0,9498.869588
24,24,9498.869588,0,0,0,4749.434794
25,25,23747.17397,0,0,0,9498.869588
26,26,4749.434794,0,4749.434794,0,14248.30438
27,27,28496.60876,0,0,0,0
28,28,28496.60876,0,4749.434794,0,9498.869588
29,29,37995.47835,0,0,0,0
30,30,33246.04356,0,0,0,0
31,31,132984.1742,9498.869588,52243.78274,4749.434794,0
32,32,47494.34794,0,0,0,0
33,33,18997.73918,0,0,0,4749.434794
34,34,9498.869588,0,0,0,4749.434794
35,35,28496.60876,0,0,0,0
36,36,33246.04356,4749.434794,0,0,0
37,37,9498.869588,0,0,0,0
38,38,9498.869588,0,4749.434794,0,0
39,39,14248.30438,0,0,0,0
40,40,37995.47835,0,52243.78274,42744.91315,0
41,41,23747.17397,0,9498.869588,33246.04356,0
42,43,28496.60876,0,4749.434794,0,0
43,44,9498.869588,0,0,0,0
44,45,18997.73918,0,0,0,0
45,46,0,0,0,0,4749.434794
46,47,161480.783,4749.434794,0,0,9498.869588
47,48,18997.73918,0,0,0,0
48,49,23747.17397,0,0,0,0
49,50,194726.8266,0,4749.434794,0,0
50,51,9498.869588,0,0,0,23747.17397
51,52,4749.434794,0,0,0,4749.434794
52,53,18997.73918,0,0,0,0
53,54,0,0,0,0,4749.434794
54,55,18997.73918,0,0,0,0
55,56,71241.52191,4749.434794,0,0,52243.78274
56,57,37995.47835,0,4749.434794,0,0
57,58,4749.434794,0,0,0,0
58,59,0,0,0,0,4749.434794
59,60,18997.73918,0,0,0,0
60,61,4749.434794,0,0,0,0
61,62,4749.434794,0,0,0,14248.30438
62,63,9498.869588,0,0,0,0
63,64,9498.869588,0,0,0,0
64,66,0,0,0,0,4749.434794
65,67,113986.4351,0,0,0,104487.5655
66,68,23747.17397,0,0,0,0
67,69,14248.30438,0,0,0,0
68,70,9498.869588,0,0,0,0
69,71,4749.434794,0,0,0,0
70,72,23747.17397,0,0,0,0
71,73,23747.17397,0,0,0,0
72,74,18997.73918,23747.17397,0,0,0
73,75,9498.869588,0,0,0,0
74,76,33246.04356,0,0,0,4749.434794
75,77,9498.869588,0,0,0,0
76,78,166230.2178,0,0,0,0
77,79,80740.3915,0,9498.869588,9498.869588,18997.73918
78,80,37995.47835,0,0,0,0
79,81,42744.91315,0,9498.869588,0,0
80,82,47494.34794,0,56993.21753,9498.869588,0
81,83,4749.434794,0,0,0,0
82,84,14248.30438,0,0,0,0
83,85,28496.60876,0,0,0,4749.434794
84,86,4749.434794,0,4749.434794,0,0
85,87,71241.52191,0,33246.04356,0,0
86,88,28496.60876,0,18997.73918,0,0
87,89,9498.869588,0,4749.434794,23747.17397,0
88,90,137733.609,4749.434794,42744.91315,14248.30438,0
89,91,18997.73918,0,0,0,4749.434794
90,92,28496.60876,0,0,0,0
91,93,23747.17397,0,0,0,0
92,95,42744.91315,0,0,0,4749.434794
93,96,18997.73918,0,0,0,0
94,97,61742.65232,0,4749.434794,0,9498.869588
95,98,14248.30438,0,0,0,18997.73918
96,99,9498.869588,0,0,0,4749.434794
97,100,9498.869588,0,0,0,0
98,101,4749.434794,0,18997.73918,4749.434794,0
99,102,37995.47835,0,4749.434794,0,9498.869588
100,103,23747.17397,0,0,0,0
101,104,18997.73918,0,37995.47835,9498.869588,0
102,105,23747.17397,0,0,0,9498.869588
103,106,33246.04356,4749.434794,0,0,9498.869588
104,107,23747.17397,0,0,0,0
105,108,18997.73918,0,4749.434794,0,0
106,109,47494.34794,0,0,0,9498.869588
107,110,99738.13068,0,0,0,0
108,111,23747.17397,0,0,0,0
109,112,104487.5655,9498.869588,9498.869588,0,0
110,113,90239.26109,0,4749.434794,18997.73918,14248.30438
111,114,9498.869588,0,9498.869588,0,0
112,115,28496.60876,4749.434794,0,0,0
113,116,156731.3482,18997.73918,4749.434794,0,4749.434794
114,117,14248.30438,0,0,0,0
115,118,9498.869588,0,0,0,0
116,119,18997.73918,0,0,0,0
117,120,208975.1309,0,47494.34794,56993.21753,37995.47835
118,121,23747.17397,0,0,0,0
119,122,223223.4353,0,4749.434794,0,47494.34794
120,123,42744.91315,0,0,0,0
121,124,4749.434794,0,4749.434794,0,0
122,125,47494.34794,4749.434794,0,0,0
123,126,18997.73918,0,0,0,0
124,127,151981.9134,0,0,0,0
125,128,37995.47835,9498.869588,0,0,0
126,129,71241.52191,0,0,0,0
127,130,75990.95671,4749.434794,0,0,0
128,131,94988.69588,0,9498.869588,80740.3915,0
129,132,75990.95671,0,14248.30438,0,0
130,133,555683.8709,0,0,0,0
131,134,75990.95671,4749.434794,28496.60876,0,0
132,135,603178.2189,0,0,0,0
133,136,28496.60876,28496.60876,37995.47835,0,75990.95671
134,137,356207.6096,0,90239.26109,14248.30438,0
135,138,33246.04356,52243.78274,14248.30438,0,4749.434794
136,139,280216.6529,56993.21753,71241.52191,0,118735.8699
137,140,14248.30438,0,0,0,0
138,141,80740.3915,0,0,0,42744.91315
139,142,9498.869588,0,0,0,0
140,143,14248.30438,0,0,0,0
141,144,4749.434794,4749.434794,0,0,0
142,145,4749.434794,4749.434794,4749.434794,0,0
143,146,28496.60876,0,0,0,0
144,147,0,9498.869588,0,0,4749.434794
145,148,18997.73918,0,0,0,0
146,150,14248.30438,9498.869588,9498.869588,0,0
147,151,0,4749.434794,0,0,0
148,152,18997.73918,0,0,0,0
149,153,0,4749.434794,0,0,0
150,154,28496.60876,0,4749.434794,0,0
151,155,0,0,4749.434794,0,0
152,156,28496.60876,0,4749.434794,14248.30438,0
153,157,4749.434794,0,4749.434794,0,0
154,158,0,0,4749.434794,0,0
155,161,14248.30438,4749.434794,0,0,0
156,162,0,4749.434794,4749.434794,0,0
157,163,142483.0438,9498.869588,0,0,0
158,164,28496.60876,0,0,0,0
159,165,28496.60876,0,4749.434794,14248.30438,4749.434794
