OBJECTID,ID_2,NO_APTA,APTITUD_BAJA,APTITUD_MEDIA,APTITUD_ALTA,EXCLUSION_LEGAL
1,1,10306273503,0,0,0,0
2,2,21989883097,0,0,0,0
3,3,14390787426,0,0,0,9498869588
4,4,2564694789,0,0,0,1519819134
5,5,11351149158,0,0,0,5271872621
6,6,1472324786,0,0,0,474943479.4
7,7,9213903501,0,0,0,94988695.88
8,8,13440900467,0,0,0,5414355665
9,9,474943479.4,0,47494347.94,0,0
10,10,189977391.8,0,0,0,0
11,11,142483043.8,0,0,0,47494347.94
12,12,94988695.88,0,0,0,0
13,13,1139864351,0,0,0,0
14,14,522437827.4,0,0,0,94988695.88
15,15,47494347.94,0,47494347.94,0,0
16,16,332460435.6,0,0,0,0
17,17,1424830438,47494347.94,0,0,0
18,18,189977391.8,0,0,0,0
19,19,237471739.7,0,47494347.94,379954783.5,0
20,20,94988695.88,0,332460435.6,94988695.88,0
21,21,142483043.8,0,0,0,47494347.94
22,22,94988695.88,0,0,0,0
23,23,142483043.8,0,0,0,94988695.88
24,24,94988695.88,0,0,0,47494347.94
25,25,237471739.7,0,0,0,94988695.88
26,26,47494347.94,0,47494347.94,0,142483043.8
27,27,284966087.6,0,0,0,0
28,28,284966087.6,0,47494347.94,0,94988695.88
29,29,379954783.5,0,0,0,0
30,30,332460435.6,0,0,0,0
31,31,1329841742,94988695.88,522437827.4,47494347.94,0
32,32,474943479.4,0,0,0,0
33,33,189977391.8,0,0,0,47494347.94
34,34,94988695.88,0,0,0,47494347.94
35,35,284966087.6,0,0,0,0
36,36,332460435.6,47494347.94,0,0,0
37,37,94988695.88,0,0,0,0
38,38,94988695.88,0,47494347.94,0,0
39,39,142483043.8,0,0,0,0
40,40,379954783.5,0,522437827.4,427449131.5,0
41,41,237471739.7,0,94988695.88,332460435.6,0
42,43,284966087.6,0,47494347.94,0,0
43,44,94988695.88,0,0,0,0
44,45,189977391.8,0,0,0,0
45,46,0,0,0,0,47494347.94
46,47,1614807830,47494347.94,0,0,94988695.88
47,48,189977391.8,0,0,0,0
48,49,237471739.7,0,0,0,0
49,50,1947268266,0,47494347.94,0,0
